iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 1)",,,"[(1, 2) via North, (2, 1) via East]","[(1, 1)]","[(1, 2), (2, 1)]",[],0,0,0
2,"(1, 2)","(1, 1)",North,[],"[(1, 2), (2, 1)]","[(2, 1)]","[(1, 1)]",1,0,1
3,"(1, 2)",,,"[(1, 3) via North, (1, 1) via South, (2, 2) via East]","[(1, 2)]","[(1, 3), (1, 1), (2, 2)]",[],0,0,0
4,"(1, 3)","(1, 2)",North,"[(1, 4) via North, (2, 3) via East]","[(1, 3), (1, 1), (2, 2)]","[(1, 1), (2, 2), (1, 4), (2, 3)]","[(1, 2)]",1,0,1
5,"(1, 1)","(1, 2)",South,"[(2, 1) via East]","[(1, 1), (2, 2), (1, 4), (2, 3)]","[(2, 2), (1, 4), (2, 3), (2, 1)]","[(1, 2), (1, 3)]",1,0,1
6,"(2, 2)","(1, 2)",East,[],"[(2, 2), (1, 4), (2, 3), (2, 1)]","[(1, 4), (2, 3), (2, 1)]","[(1, 2), (1, 3), (1, 1)]",1,0,1
7,"(1, 6)",,,"[(1, 7) via North, (1, 5) via South]","[(1, 6)]","[(1, 7), (1, 5)]",[],0,0,0
8,"(1, 7)","(1, 6)",North,"[(1, 8) via North]","[(1, 7), (1, 5)]","[(1, 5), (1, 8)]","[(1, 6)]",1,0,1
9,"(1, 5)","(1, 6)",South,"[(1, 4) via South]","[(1, 5), (1, 8)]","[(1, 8), (1, 4)]","[(1, 6), (1, 7)]",1,0,1
10,"(1, 8)","(1, 7)",North,[],"[(1, 8), (1, 4)]","[(1, 4)]","[(1, 6), (1, 7), (1, 5)]",2,0,2
11,"(1, 3)",,,"[(1, 4) via North, (1, 2) via South, (2, 3) via East]","[(1, 3)]","[(1, 4), (1, 2), (2, 3)]",[],0,0,0
12,"(1, 4)","(1, 3)",North,"[(1, 5) via North, (2, 4) via East]","[(1, 4), (1, 2), (2, 3)]","[(1, 2), (2, 3), (1, 5), (2, 4)]","[(1, 3)]",1,0,1
