iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",,,"[(34, 15) via South, (33, 16) via West]","[(34, 16)]","[(33, 16), (34, 15)]",[],0,0,0
2,"(33, 16)","(34, 16)",West,"[(32, 16) via West]","[(33, 16), (34, 15)]","[(32, 16), (34, 15)]","[(34, 16)]",1,0,1
3,"(32, 16)","(33, 16)",West,"[(31, 16) via West]","[(32, 16), (34, 15)]","[(31, 16), (34, 15)]","[(34, 16), (33, 16)]",2,0,2
4,"(31, 16)","(32, 16)",West,"[(30, 16) via West]","[(31, 16), (34, 15)]","[(30, 16), (34, 15)]","[(34, 16), (33, 16), (32, 16)]",3,0,3
5,"(30, 16)","(31, 16)",West,"[(29, 16) via West]","[(30, 16), (34, 15)]","[(29, 16), (34, 15)]","[(34, 16), (33, 16), (32, 16), (31, 16)]",4,0,4
6,"(29, 16)","(30, 16)",West,"[(28, 16) via West]","[(29, 16), (34, 15)]","[(28, 16), (34, 15)]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16)]",5,0,5
7,"(28, 16)","(29, 16)",West,"[(27, 16) via West]","[(28, 16), (34, 15)]","[(27, 16), (34, 15)]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16)]",6,0,6
8,"(27, 16)","(28, 16)",West,"[(26, 16) via West]","[(27, 16), (34, 15)]","[(26, 16), (34, 15)]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16)]",7,0,7
9,"(26, 16)","(27, 16)",West,"[(25, 16) via West]","[(26, 16), (34, 15)]","[(25, 16), (34, 15)]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16)]",8,0,8
10,"(25, 16)","(26, 16)",West,"[(25, 15) via South, (24, 16) via West]","[(25, 16), (34, 15)]","[(24, 16), (25, 15), (34, 15)]","[(34, 16), (33, 16), (32, 16), (31, 16), (30, 16), (29, 16), (28, 16), (27, 16), (26, 16)]",9,0,9
